Date : 2025-04-11 11:33:51
Directory : /home/antonio/dev/myorder
Total : 71 files,  11293 codes, 72 comments, 684 blanks, all 12049 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |      7,216 |          0 |          2 |      7,218 |
| TypeScript JSX     |         35 |      2,978 |          7 |        390 |      3,375 |
| TypeScript         |         14 |        764 |          1 |        218 |        983 |
| CSS                |          1 |        115 |          0 |          5 |        120 |
| Prisma             |          1 |         78 |          0 |         13 |         91 |
| MS SQL             |          8 |         78 |         64 |         39 |        181 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| Markdown           |          1 |         16 |          0 |          9 |         25 |
| JavaScript         |          2 |         16 |          0 |          7 |         23 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |         71 |     11,293 |         72 |        684 |     12,049 |
| . (Files)                                                                                            |          8 |      7,282 |          0 |         22 |      7,304 |
| prisma                                                                                               |          9 |        156 |         64 |         52 |        272 |
| prisma (Files)                                                                                       |          1 |         78 |          0 |         13 |         91 |
| prisma/migrations                                                                                    |          8 |         78 |         64 |         39 |        181 |
| prisma/migrations/20250402175726_first_migration                                                     |          1 |         61 |         18 |         25 |        104 |
| prisma/migrations/20250402183538_second_migration                                                    |          1 |          3 |          9 |          3 |         15 |
| prisma/migrations/20250404220333_third                                                               |          1 |          5 |         11 |          4 |         20 |
| prisma/migrations/20250405162552_item_category_not_mandatory                                         |          1 |          1 |          1 |          1 |          3 |
| prisma/migrations/20250409182759_migration_new_tables                                                |          1 |          2 |          8 |          1 |         11 |
| prisma/migrations/20250409183753_new_migration                                                       |          1 |          1 |          1 |          1 |          3 |
| prisma/migrations/20250409184001_new_mig                                                             |          1 |          4 |          9 |          3 |         16 |
| prisma/migrations/20250409190355_new_mig                                                             |          1 |          1 |          7 |          1 |          9 |
| public                                                                                               |          5 |          5 |          0 |          0 |          5 |
| src                                                                                                  |         49 |      3,850 |          8 |        610 |      4,468 |
| src/app                                                                                              |         25 |      2,526 |          3 |        396 |      2,925 |
| src/app (Files)                                                                                      |          3 |        189 |          0 |         16 |        205 |
| src/app/account                                                                                      |          1 |         80 |          0 |         13 |         93 |
| src/app/api                                                                                          |          8 |        712 |          1 |        196 |        909 |
| src/app/api/adm                                                                                      |          1 |         54 |          0 |         20 |         74 |
| src/app/api/item                                                                                     |          1 |        106 |          0 |         27 |        133 |
| src/app/api/order                                                                                    |          1 |         83 |          1 |         20 |        104 |
| src/app/api/orderItem                                                                                |          1 |         97 |          0 |         27 |        124 |
| src/app/api/provider                                                                                 |          1 |        149 |          0 |         45 |        194 |
| src/app/api/table                                                                                    |          1 |        121 |          0 |         32 |        153 |
| src/app/api/token                                                                                    |          1 |          6 |          0 |          2 |          8 |
| src/app/api/user                                                                                     |          1 |         96 |          0 |         23 |        119 |
| src/app/business                                                                                     |          5 |        882 |          0 |         94 |        976 |
| src/app/business (Files)                                                                             |          2 |        228 |          0 |         27 |        255 |
| src/app/business/item                                                                                |          1 |        198 |          0 |         19 |        217 |
| src/app/business/table                                                                               |          1 |        304 |          0 |         30 |        334 |
| src/app/business/user                                                                                |          1 |        152 |          0 |         18 |        170 |
| src/app/login                                                                                        |          1 |        164 |          0 |          8 |        172 |
| src/app/provider-page                                                                                |          7 |        499 |          2 |         69 |        570 |
| src/app/provider-page/[providerId]                                                                   |          7 |        499 |          2 |         69 |        570 |
| src/app/provider-page/[providerId] (Files)                                                           |          1 |         98 |          0 |         19 |        117 |
| src/app/provider-page/[providerId]/cart                                                              |          2 |        165 |          2 |         24 |        191 |
| src/app/provider-page/[providerId]/items                                                             |          2 |        173 |          0 |         17 |        190 |
| src/app/provider-page/[providerId]/order                                                             |          2 |         63 |          0 |          9 |         72 |
| src/components                                                                                       |         18 |      1,197 |          3 |        181 |      1,381 |
| src/components (Files)                                                                               |         13 |        968 |          3 |        148 |      1,119 |
| src/components/ui                                                                                    |          5 |        229 |          0 |         33 |        262 |
| src/context                                                                                          |          1 |         82 |          2 |         14 |         98 |
| src/hooks                                                                                            |          1 |          9 |          0 |          2 |         11 |
| src/lib                                                                                              |          3 |         15 |          0 |          9 |         24 |
| src/middlewares                                                                                      |          1 |         21 |          0 |          8 |         29 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                             | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
